Title,Location,Company,Summary
DS부문 System LSI사업부 경력사원 채용공고,서울 서초동,삼성전자,"System S/W - Analog/Digital 회로설계, 회로 검증 - S/W 언어(C/C++/C#/ Python/Java) Coding 능력 - ARM Architecture, OS(Linux) 활용 경험..."
로봇 시스템 아키텍쳐 및 다중 분산 시스템 아키텍쳐 new,서울 중구,국내 대기업 / 화물 운송업 / 조단위 이상 매출 기업,"경험 또는 물류사업 이해도를 갖춘 경력 우대 • 요구조건 - 중급 이상의 프로그래밍 언어 (C/C++, Python, JAVA) 활용능력 보유자 - 영어/중국어 회화 중급(OPIc IM2 또는 이에 상응하는 레벨) 이상..."
Python 신입/경력 알바 new,서울 강남구,매직에코,23시59분까지 접수방법: bit.ly/CODEMATE1기지원접수양식: 자사양식 기타 유의사항 입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다. 인터넷·IT·통신·모바일·게임>웹프로그래머> Python
AI 분야 석/박사,서울,LG CNS,"이상 (AI 관련 논문 발표) ② AI/딥러닝 알고리즘 연구개발 프로젝트 경험 ③ Ubuntu Linux, Python, Tensorflow, PyTorch 사용 중상급 이상 우대사항(해당 내용 중 1개 이상) ① AI/머신..."
SENIOR DATA ANALYST new,서울,Foot Locker,"results... R, Python, or comparable... statistical analysis of A/B/N utilizing Python, R, or other comparable statistical..."
"Software Engineer, University Graduate",서울,Google,"languages, including... limited to: Java, C/C++, Python, JavaScript, or Go. Experience working with one or more from..."
"Natural Language Processing 연구원 (자연어처리, 텍스트마이닝) 채용, 석사이상",서울,금융IT연구소 (대기업군),"연구개발, 과제관리 경험자 관련분야 실무경력 석사 2년이상(박사의 경우 실무경력 1년 이상) - 프로그래밍( Python or C/C++ or Java 등) 경험자 [우대사항] - NLP관련 솔루션 설계 및 개발 경험..."
[NAVER Cloud] System Engineering 경력사원,서울,네이버,"저닝, 설정 관리, 모니터링 등) 및 관리, 운영경험 - 운영에 필요한 도구 개발 (Shell / PHP / Python 중 하나 이상의 개발 경험) 역량 - Haproxy Server [ 우대사항] - 운영 자동화 경험이..."
서비스플랫폼 구축 총괄 관리,서울 강남구,제이앤제이글로벌컨설팅,터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>웹기획·웹마케팅·PM>PM|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI...
(디지털일자리사업)프롭테크 기업에서 back-end 개발자,서울 서초구,사 평행공간,신분 우대사항 * 소프트웨어 개발관련 전공자 * javascript외 다른 언어 빨리 습득 가능하신 분 * Python 사용 가능 하신 분 상세모집요강 접수기간/방법 지원방법 전형절차 및 제출서류 제출서류 이력서에 응시...
Computer Vision 개발자,서울 금천구,인텔리코리아,채용이 취소될 수 있습니다. 인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>딥러닝|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python
